"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-21","0.08",,"50","43","43"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-22","0.08",,"47","36","41"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-23",,,"54","28","48"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-24",,,"56","32","51"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-25","1.46",,"58","51","52"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-26",,,"52","40","48"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-27","0.00",,"49","37","47"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-28","0.01",,"53","44","49"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-29",,,"54","31","48"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-30","0.00",,"48","43","45"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-31","0.00",,"46","40","44"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-01",,,"53","40","50"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-02",,,"60","40","47"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-03",,,"68","38","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-04","0.01",,"70","55","57"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-05",,,"58","45","46"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-06",,,"62","36","46"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-07",,,"72","45","58"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-08",,,"66","41","55"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-09",,,"55","45","50"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-10","0.56",,"51","44","46"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-11","0.76",,"51","46","49"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-12","0.07",,"56","44","49"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-13",,,"58","36","51"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-14",,,"51","33","38"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-15",,,"45","36","41"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-16","0.15",,"52","40","50"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-17","1.26",,"53","49","51"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-18",,,"54","47","53"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-19",,,"53","41","45"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-20",,,"56","40","47"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-21",,,"62","33","54"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-22",,,"65","38","52"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-23","0.00",,"67","47","59"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-24",,,"66","43","54"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-25","0.00",,"68","48","57"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-26",,,"69","49","59"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-27","0.01",,"65","52","59"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-28","0.00",,"68","57","62"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-29",,,"69","56","66"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-30",,,"72","52","63"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-01-31",,,"73","48","67"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-01","0.40",,"71","57","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-02","0.76",,"70","55","59"
