Date,Coal,Demand,Hydroelectric,Natural Gas,Nuclear,Other,Solar,Wind
20150721T00-05,,49181,,,,,,
20150721T01-05,,45243,,,,,,
20150721T02-05,,42427,,,,,,
20150721T03-05,,40384,,,,,,
20150721T04-05,,39145,,,,,,
20150721T05-05,,38712,,,,,,
20150721T06-05,,39524,,,,,,
20150721T07-05,,40950,,,,,,
20150721T08-05,,41933,,,,,,
20150721T09-05,,44203,,,,,,
20150721T10-05,,47379,,,,,,
20150721T11-05,,50909,,,,,,
20150721T12-05,,54540,,,,,,
20150721T13-05,,57816,,,,,,
20150721T14-05,,60934,,,,,,
20150721T15-05,,63260,,,,,,
20150721T16-05,,64704,,,,,,
20150721T17-05,,65252,,,,,,
20150721T18-05,,64772,,,,,,
20150721T19-05,,63167,,,,,,
20150721T20-05,,60762,,,,,,
20150721T21-05,,58460,,,,,,
20150721T22-05,,56760,,,,,,
20150721T23-05,,52631,,,,,,
20150722T00-05,,48437,,,,,,
20150722T01-05,,44738,,,,,,
20150722T02-05,,42034,,,,,,
20150722T03-05,,40250,,,,,,
20150722T04-05,,39161,,,,,,
20150722T05-05,,38990,,,,,,
20150722T06-05,,40091,,,,,,
20150722T07-05,,41709,,,,,,
20150722T08-05,,42750,,,,,,
20150722T09-05,,45114,,,,,,
20150722T10-05,,48169,,,,,,
20150722T11-05,,51549,,,,,,
20150722T12-05,,54781,,,,,,
20150722T13-05,,57987,,,,,,
20150722T14-05,,61084,,,,,,
20150722T15-05,,63493,,,,,,
20150722T16-05,,65185,,,,,,
20150722T17-05,,65992,,,,,,
20150722T18-05,,65567,,,,,,
20150722T19-05,,63961,,,,,,
20150722T20-05,,61396,,,,,,
20150722T21-05,,58957,,,,,,
20150722T22-05,,57101,,,,,,
20150722T23-05,,53158,,,,,,
20150723T00-05,,48858,,,,,,
20150723T01-05,,45114,,,,,,
20150723T02-05,,42417,,,,,,
20150723T03-05,,40584,,,,,,
20150723T04-05,,39508,,,,,,
20150723T05-05,,39178,,,,,,
20150723T06-05,,40177,,,,,,
20150723T07-05,,41623,,,,,,
20150723T08-05,,42659,,,,,,
20150723T09-05,,45357,,,,,,
20150723T10-05,,48849,,,,,,
20150723T11-05,,52683,,,,,,
20150723T12-05,,56481,,,,,,
20150723T13-05,,59560,,,,,,
20150723T14-05,,62432,,,,,,
20150723T15-05,,64659,,,,,,
20150723T16-05,,65858,,,,,,
20150723T17-05,,66101,,,,,,
20150723T18-05,,65730,,,,,,
20150723T19-05,,64310,,,,,,
20150723T20-05,,61861,,,,,,
20150723T21-05,,59479,,,,,,
20150723T22-05,,57443,,,,,,
20150723T23-05,,53422,,,,,,
20150724T00-05,,49090,,,,,,
20150724T01-05,,45412,,,,,,
20150724T02-05,,42722,,,,,,
20150724T03-05,,40876,,,,,,
20150724T04-05,,39642,,,,,,
20150724T05-05,,39239,,,,,,
20150724T06-05,,39910,,,,,,
20150724T07-05,,41082,,,,,,
20150724T08-05,,41928,,,,,,
20150724T09-05,,44649,,,,,,
20150724T10-05,,48190,,,,,,
20150724T11-05,,52011,,,,,,
20150724T12-05,,55546,,,,,,
20150724T13-05,,58789,,,,,,
20150724T14-05,,61618,,,,,,
20150724T15-05,,63885,,,,,,
20150724T16-05,,65320,,,,,,
20150724T17-05,,66027,,,,,,
20150724T18-05,,65553,,,,,,
20150724T19-05,,63936,,,,,,
20150724T20-05,,61427,,,,,,
20150724T21-05,,58798,,,,,,
20150724T22-05,,56790,,,,,,
20150724T23-05,,53254,,,,,,
20150725T00-05,,49346,,,,,,
20150725T01-05,,45588,,,,,,
20150725T02-05,,42721,,,,,,
20150725T03-05,,40382,,,,,,
20150725T04-05,,38775,,,,,,
20150725T05-05,,37804,,,,,,
20150725T06-05,,37598,,,,,,
20150725T07-05,,37678,,,,,,
20150725T08-05,,38132,,,,,,
20150725T09-05,,41347,,,,,,
20150725T10-05,,45546,,,,,,
20150725T11-05,,49941,,,,,,
20150725T12-05,,53985,,,,,,
20150725T13-05,,57309,,,,,,
20150725T14-05,,60010,,,,,,
20150725T15-05,,61873,,,,,,
20150725T16-05,,63086,,,,,,
20150725T17-05,,63794,,,,,,
20150725T18-05,,63544,,,,,,
20150725T19-05,,62188,,,,,,
20150725T20-05,,59753,,,,,,
20150725T21-05,,57395,,,,,,
20150725T22-05,,55345,,,,,,
20150725T23-05,,51993,,,,,,
20150726T00-05,,48432,,,,,,
20150726T01-05,,45092,,,,,,
20150726T02-05,,42388,,,,,,
20150726T03-05,,40219,,,,,,
20150726T04-05,,38590,,,,,,
20150726T05-05,,37479,,,,,,
20150726T06-05,,37058,,,,,,
20150726T07-05,,36745,,,,,,
20150726T08-05,,37089,,,,,,
20150726T09-05,,40126,,,,,,
20150726T10-05,,44330,,,,,,
20150726T11-05,,48685,,,,,,
20150726T12-05,,52950,,,,,,
20150726T13-05,,56726,,,,,,
20150726T14-05,,59686,,,,,,
20150726T15-05,,61992,,,,,,
20150726T16-05,,63542,,,,,,
20150726T17-05,,64379,,,,,,
20150726T18-05,,64650,,,,,,
20150726T19-05,,63738,,,,,,
20150726T20-05,,61621,,,,,,
20150726T21-05,,59460,,,,,,
20150726T22-05,,57641,,,,,,
20150726T23-05,,53742,,,,,,
20150727T00-05,,49518,,,,,,
20150727T01-05,,45902,,,,,,
20150727T02-05,,43202,,,,,,
20150727T03-05,,41265,,,,,,
20150727T04-05,,40027,,,,,,
20150727T05-05,,39643,,,,,,
20150727T06-05,,40443,,,,,,
20150727T07-05,,41817,,,,,,
20150727T08-05,,42686,,,,,,
20150727T09-05,,45366,,,,,,
20150727T10-05,,49023,,,,,,
20150727T11-05,,53235,,,,,,
20150727T12-05,,57490,,,,,,
20150727T13-05,,61084,,,,,,
20150727T14-05,,64059,,,,,,
20150727T15-05,,65943,,,,,,
20150727T16-05,,66616,,,,,,
20150727T17-05,,66674,,,,,,
20150727T18-05,,66267,,,,,,
20150727T19-05,,65061,,,,,,
20150727T20-05,,62615,,,,,,
20150727T21-05,,60263,,,,,,
20150727T22-05,,58276,,,,,,
20150727T23-05,,54028,,,,,,
20150728T00-05,,49474,,,,,,
20150728T01-05,,45642,,,,,,
20150728T02-05,,42915,,,,,,
20150728T03-05,,40955,,,,,,
20150728T04-05,,39814,,,,,,
20150728T05-05,,39477,,,,,,
20150728T06-05,,40406,,,,,,
20150728T07-05,,41960,,,,,,
20150728T08-05,,42715,,,,,,
20150728T09-05,,45200,,,,,,
20150728T10-05,,48583,,,,,,
20150728T11-05,,52433,,,,,,
