Panaderia Tierra Caliente #3,,,,
5800 Bellaire Blvd Ste 128,,,,
"Houston, TX 77081",,,,
,,,,
,,,,
,,,,
*** TOTAL INVENTORY REPORT BY MENU ITEM ***,,,,
From 04/17/2022 To 04/23/2022,,,,
,,,,
,,,,
SNAP CATEGORY,MENU ITEM,SALES AMOUNT,PERCENTAGE,QUANTITY
Accessory Foods,Empanada Pilocillo, $ 17.51 ,0.04%,15
Accessory Foods,Galleta Ojar. Corazon, $ 16.34 ,0.03%,18
Accessory Foods,Calabaza, $ 15.56 ,0.03%,12
Accessory Foods,Gusanito, $ 15.56 ,0.03%,15
Accessory Foods,Jaiba, $ 15.56 ,0.03%,8
Accessory Foods,Gatorade Fruit Punch, $ 15.48 ,0.03%,6
Accessory Foods,Oreja Danes, $ 14.52 ,0.03%,8
Accessory Foods,Polvoron Vainilla, $ 14.52 ,0.03%,14
Accessory Foods,Trenza Queso Danes, $ 14.52 ,0.03%,8
Accessory Foods,Borracho, $ 14.26 ,0.03%,11
Accessory Foods,Careoca, $ 14.26 ,0.03%,11
Accessory Foods,BOMBA CHOC. $3.50, $ 13.62 ,0.03%,3
Accessory Foods,pierna queso c/guayaba, $ 13.62 ,0.03%,7
Staple Foods,V-8 TROP 12, $ 13.49 ,0.03%,8
Accessory Foods,CONCHA RELLENA, $ 12.97 ,0.03%,5
Accessory Foods,Pelon, $ 12.97 ,0.03%,10
Accessory Foods,Galleta Corazon Sevill, $ 12.71 ,0.03%,14
Accessory Foods,Galleta Nuez, $ 12.71 ,0.03%,14
Staple Foods,SALSA PIQUIN, $ 12.64 ,0.03%,3
Accessory Foods,Alacran, $ 12.45 ,0.03%,12
Accessory Foods,Galleta Ojar. Estrella, $ 11.80 ,0.02%,13
Staple Foods,V-8 12OZ, $ 11.80 ,0.02%,7
Accessory Foods,Rinon, $ 11.67 ,0.02%,10
Staple Foods,galon de agua, $ 11.36 ,0.02%,4
Accessory Foods,Abanico, $ 10.89 ,0.02%,7
Accessory Foods,Cono Chocolate, $ 10.89 ,0.02%,7
Accessory Foods,Seis (Huetamo), $ 10.50 ,0.02%,9
Accessory Foods,Ojarasca Chica, $ 10.37 ,0.02%,20
Accessory Foods,Tabique, $ 10.37 ,0.02%,10
Accessory Foods,Trompada, $ 10.37 ,0.02%,10
Accessory Foods,SPRITE 500ML-16oz, $ 10.08 ,0.02%,3
Accessory Foods,Gordita Nata, $ 9.73 ,0.02%,6
Accessory Foods,Peineta, $ 9.34 ,0.02%,8
Accessory Foods,Pierna (Huetamo), $ 9.34 ,0.02%,8
Accessory Foods,Payaso, $ 9.08 ,0.02%,7
Staple Foods,SALSA CAMBRAY, $ 8.43 ,0.02%,2
Accessory Foods,paleta de hielo, $ 7.78 ,0.02%,6
Staple Foods,Pan Molido, $ 7.78 ,0.02%,3
Accessory Foods,Gusano Cajeta o Queso, $ 7.26 ,0.01%,4
Accessory Foods,Rosca Manteca, $ 7.26 ,0.01%,7
Accessory Foods,FRESCA 500, $ 6.72 ,0.01%,2
Accessory Foods,CAKE TOPPERS $5, $ 6.48 ,0.01%,1
Accessory Foods,Huarache, $ 6.48 ,0.01%,5
Staple Foods,DUCAL NEG. REF 15, $ 6.46 ,0.01%,2
Accessory Foods,kool aid, $ 6.42 ,0.01%,5
Accessory Foods,Barrita, $ 6.22 ,0.01%,6
Accessory Foods,Cacahuate, $ 5.71 ,0.01%,4
Accessory Foods,Gorditas, $ 5.19 ,0.01%,8
Accessory Foods,PELLISCO FINO, $ 5.19 ,0.01%,5
Staple Foods,TROPICANA NARANJA 15oz, $ 5.16 ,0.01%,2
Accessory Foods,Sapito, $ 5.06 ,0.01%,3
Accessory Foods,Manita, $ 4.67 ,0.01%,3
Accessory Foods,Cup-cakes simple, $ 4.54 ,0.01%,1
Accessory Foods,Fruit Tart, $ 4.54 ,0.01%,1
Accessory Foods,calaverita de azucar, $ 4.21 ,0.01%,1
Accessory Foods,GATORADE CHICO FP, $ 4.12 ,0.01%,2
Staple Foods,Foco Coco 11.8, $ 3.37 ,0.01%,2
Accessory Foods,Galleta Jengibre, $ 2.59 ,0.01%,2
Hot Foods,CAFÉ CANELA CINAMON 12, $ 1.95 ,0.00%,1
Accessory Foods,Tamal Danes, $ 1.82 ,0.00%,1
Accessory Foods,Tornillo, $ 1.04 ,0.00%,1
,, ------------ ,----------,--------
,GROSS ITEM SALES:," $ 49,158.28 ",100.00%,"48,088"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
SNAP CATEGORY,SUM of SALES AMOUNT,SUM of PERCENTAGE,,
Accessory Foods," $ 11,128.99 ",22.64%,,
Hot Foods," $ 2,377.31 ",4.84%,,
Staple Foods," $ 35,651.98 ",72.52%,,
Grand Total," $ 49,158.28 ",100.00%,,
